pueblo,sano,infectado,inmune,fallecido
0,580,0,392,29
1,511,0,428,62
2,1000,0,1,0
3,986,0,12,3
4,977,0,20,4
5,899,0,95,7
6,628,0,336,37
7,947,0,49,5
8,832,0,152,17
9,867,0,120,14
10,695,0,280,26
11,854,0,133,14
12,828,0,157,16
13,999,0,2,0
14,1000,0,1,0
15,998,0,3,0
16,975,0,24,2
17,872,0,110,19
18,955,0,40,6
19,998,0,1,2
20,999,0,2,0
21,994,0,6,1
22,863,0,129,9
23,710,0,262,29
24,1000,0,1,0
25,765,0,212,24
26,974,0,27,0
27,1000,0,1,0
28,878,0,110,13
29,849,0,133,19
30,949,0,45,7
31,690,0,268,43
32,710,0,255,36
33,1000,0,1,0
34,502,0,445,54
35,836,0,155,10
36,818,0,157,26
37,982,0,19,0
38,679,0,292,30
39,689,0,283,29
40,869,0,116,16
41,1000,0,1,0
42,771,0,208,22
43,742,0,240,19
44,961,0,35,5
45,428,0,515,58
46,991,0,10,0
47,938,0,58,5
48,911,0,87,3
49,589,0,366,46
50,673,0,298,30
51,844,0,142,15
52,890,0,95,16
53,475,0,478,48
54,1000,0,1,0
55,517,0,438,46
56,906,0,83,12
57,1000,0,1,0
58,721,0,255,25
59,999,0,2,0
60,537,0,424,40
61,980,0,19,2
62,933,0,63,5
63,596,0,360,45
64,995,0,6,0
65,691,0,276,34
66,436,0,509,56
67,981,0,18,2
68,733,0,229,39
69,904,0,91,6
70,940,0,56,5
71,873,0,119,9
72,770,0,205,26
73,608,0,347,46
74,900,0,98,3
75,999,0,2,0
76,965,0,30,6
77,957,0,40,4
78,444,0,496,61
79,658,0,312,31
80,935,0,57,9
81,700,0,267,34
82,629,0,341,31
83,957,0,39,5
84,960,0,36,5
85,872,0,113,16
86,678,0,284,39
87,1000,0,1,0
88,843,0,145,13
89,943,0,53,5
90,842,0,138,21
91,1000,0,1,0
92,1000,0,1,0
93,681,0,284,36
94,848,0,137,16
95,995,0,5,1
96,914,0,80,7
97,959,0,37,5
98,732,0,249,20
99,1000,0,1,0
100,704,0,272,25
101,843,0,133,25
102,1000,0,1,0
103,872,0,115,14
104,870,0,117,14
105,997,0,3,1
106,1000,0,1,0
107,637,0,325,39
108,982,0,19,0
109,862,0,125,14
110,905,0,91,5
111,636,0,335,30
112,825,0,159,17
113,992,0,8,1
114,931,0,65,5
115,1000,0,0,1
116,856,0,131,14
117,587,0,370,44
118,1000,0,0,1
119,579,0,376,46
120,659,0,305,37
121,886,0,100,15
122,625,0,335,41
123,918,0,76,7
124,834,0,144,23
125,970,0,26,5
126,692,0,288,21
127,948,0,49,4
128,606,0,358,37
129,965,0,34,2
130,810,0,174,17
131,959,0,40,2
132,979,0,21,1
133,549,0,401,51
134,934,0,56,11
135,371,0,573,57
136,942,0,57,2
137,1000,0,1,0
138,998,0,3,0
139,909,0,83,9
140,1000,0,1,0
141,849,0,140,12
142,756,0,219,26
143,1000,0,1,0
144,608,0,358,35
145,728,0,240,33
146,971,0,29,1
147,929,0,70,2
148,980,0,18,3
149,937,0,57,7
150,905,0,78,18
151,989,0,11,1
152,781,0,198,22
153,946,0,52,3
154,678,0,284,39
155,1000,0,0,1
156,657,0,323,21
157,512,0,437,52
158,784,0,199,18
159,440,0,514,47
160,1000,0,1,0
161,935,0,58,8
162,845,0,141,15
163,641,0,326,34
164,910,0,80,11
165,504,0,441,56
166,650,0,318,33
167,999,0,2,0
168,782,0,202,17
169,715,0,263,23
170,637,0,319,45
171,984,0,16,1
172,959,0,33,9
173,997,0,3,1
174,960,0,37,4
175,898,0,98,5
176,1000,0,0,1
177,540,0,418,43
178,996,0,5,0
179,572,0,383,46
180,911,0,84,6
181,998,0,3,0
182,712,0,257,32
183,888,0,98,15
184,1000,0,1,0
185,945,0,49,7
186,789,0,192,20
187,774,0,204,23
188,936,0,60,5
189,986,0,14,1
190,747,0,228,26
191,987,0,12,2
192,443,19,487,52
193,485,5,468,43
194,541,0,416,44
195,944,0,49,8
196,567,0,389,45
197,957,0,40,4
198,999,0,2,0
199,786,0,190,25
