weight,Mean Accuracy,Std Deviation
"[0.3, 0.35, 0.35]",0.9090909090909091,0.1311109554714178
"[0.4, 0.3, 0.3]",0.9363636363636364,0.14937887931959073
"[0.5, 0.25, 0.25]",0.9818181818181819,0.05749595745760689
"[0.6, 0.2, 0.2]",0.9181818181818181,0.11134044285378082
"[0.4, 0.2, 0.4]",0.9636363636363636,0.07713892158398698
"[0.35, 0.3, 0.35]",0.9818181818181819,0.05749595745760689
"[0.3, 0.4, 0.3]",0.9636363636363636,0.07713892158398698
"[0.4, 0.4, 0.2]",0.9000000000000000,0.11281521496355323
"[0.35, 0.35, 0.3]",0.890909090909091,0.1311109554714178
"[0.3, 0.3, 0.4]",0.9272727272727272,0.09620913858416691
